,钢号,试验单位,缺口形状,试样尺寸,取样方向,试验方法,炉号,热处理号,温度,样品数,屈服点,序号,试验单位-化学成分,铈,镧,钙,钴,铝(不可溶),铝(可溶),铌,钛,硼,铜,钨,钒,钼,镍,铬,硫,磷,锰,硅,碳,锶,硒,钠,汞,镉,银,砷,铋,锌,锑,锡,铅,铁,稀土,氮气,氧气,氢气,氮,氧,氢,镁,试验单位-金相组织,夹杂物,渗氮,渗碳,金相组织,最大晶粒度,晶粒度,马氏体转变开,热处理工艺
2461,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,400.0,0.0,289.0,2.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2462,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,600.0,0.0,237.0,3.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2463,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,700.0,0.0,235.0,4.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2464,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,800.0,0.0,205.0,5.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2465,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,900.0,0.0,168.0,6.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2466,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,950.0,0.0,121.0,7.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2467,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,1000.0,0.0,61.0,8.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2468,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,25.0,1.0,493.0,9.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2469,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,25.0,1.0,532.0,10.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2470,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,25.0,1.0,597.0,11.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2471,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,25.0,1.0,640.0,12.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2472,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,900.0,1.0,168.0,13.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2473,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,900.0,1.0,136.0,14.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2474,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,900.0,1.0,156.0,15.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2475,ZG30Cr18Mn12Si2N,_,光滑,_,轴向,,122894,1.0,900.0,1.0,159.0,16.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.021,0.031,11.8,1.95,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2476,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,25.0,0.0,485.0,1.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2477,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,400.0,0.0,275.0,2.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2478,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,600.0,0.0,226.0,3.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2479,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,700.0,0.0,233.0,4.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2480,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,800.0,0.0,213.0,5.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2481,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,900.0,0.0,165.0,6.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2482,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,950.0,0.0,117.0,7.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2483,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,1000.0,0.0,75.0,8.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2484,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,1100.0,0.0,51.0,9.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2485,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,25.0,1.0,487.0,10.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2486,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,25.0,1.0,505.0,11.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2487,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,25.0,1.0,481.0,12.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2488,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,900.0,1.0,138.0,13.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2489,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,900.0,1.0,132.0,14.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2490,ZG30Cr22Mn4Ni4Si2N,_,光滑,_,纵向,,051595,1.0,900.0,1.0,125.0,15.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,22.0,0.012,0.029,4.55,1.92,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,,,,,,,,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2491,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,25.0,0.0,272.0,1.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2492,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,400.0,0.0,216.0,2.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2493,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,600.0,0.0,175.0,3.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2494,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,700.0,0.0,161.0,4.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2495,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,800.0,0.0,146.0,5.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2496,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,900.0,0.0,111.0,6.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2497,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,950.0,0.0,81.0,7.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2498,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,1000.0,0.0,64.0,8.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2499,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,25.0,1.0,272.0,9.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
2500,ZG30Ni35Cr15,_,光滑,_,轴向,,011295,1.0,25.0,1.0,287.0,10.0,二汽铸锻件厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,16.45,0.01,0.038,0.87,0.82,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,奥氏体,0,0,0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:铸态: 不热处理;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN
