Hz,u,widths,width_heights,left_ips,right_ips,prominences,left_bases,right_bases,Bandwidth
"3.48,13.56","0.4721,0.1332","43.177767354596654,5.708333333333201","0.4429642857142856,0.1320142857142857","21.355769230769226,286.41666666666674","64.53353658536588,292.12499999999994","0.057414285714285695,0.0010000000000000009","8,283","400,400",1.88
3.56,0.4901,43.61764115,0.4623,17.55696203,61.17460317,0.050257143,0,400,2
3.52,0.5184,39.28456453,0.488164286,24.88380282,64.16836735,0.054242857,0,400,2.28
3.76,0.6228,44.09111495,0.582635714,26.50518135,70.5962963,0.075185714,8,400,3.4
"3.72,12.24","0.4308,0.1979","48.56067753001714,19.975609756097526","0.4041071428571428,0.1962071428571428","25.393867924528315,251.52439024390242","73.95454545454545,271.49999999999994","0.05778571428571416,0.002928571428571475","0,247","400,400",0.4
"3.52,12.24,14.76","0.4735,0.2235,0.2058","37.87339349193337,5.472222222222371,17.66279069767438","0.4478357142857141,0.22155714285714279,0.20341428571428566","22.858490566037702,252.02777777777774,315.8372093023256","60.73188405797107,257.5000000000001,333.5","0.04241428571428568,0.001028571428571462,0.0020000000000000018","8,249,312","400,400,400",0.92
"3.56,8.4,15.48","0.3696,0.2585,0.1415","36.02175672940696,6.376838235294144,28.288949275362256","0.3482428571428571,0.2569428571428571,0.13602142857142854","25.19135802469138,156.52941176470588,329.3985507246377","61.213114754098335,162.90625000000003,357.68749999999994","0.048142857142857154,0.0011142857142857343,0.00904285714285713","8,154,318","318,318,400",0.28
"3.24,12.56","0.3999,0.2143","51.097808105872616,15.67529411764707","0.37560714285714275,0.21234999999999996","18.99193548387097,254.26470588235298","70.08974358974359,269.94000000000005","0.045499999999999985,0.003757142857142848","2,246","372,372",0.16
"3.72,8.36,13.64","0.4357,0.3286,0.2239","45.744047619047436,10.083783783783957,15.058743169398952","0.40435714285714275,0.32775714285714275,0.22132857142857137","26.160714285714278,154.21621621621614,282.41666666666663","71.90476190476171,164.3000000000001,297.4754098360656","0.06762857142857143,0.002514285714285691,0.0057142857142856995","8,145,271","360,360,360",0.08
3.56,0.4382,36.06421121,0.412264286,20.51271186,56.57692308,0.046757143,2,400,0.52
"3.72,12.24","0.446,0.2404","78.76111111111106,6.365740740740705","0.41326428571428564,0.2395571428571428","23.707142857142873,251.37500000000006","102.46825396825393,257.74074074074076","0.0701571428571428,0.0011999999999999789","0,249","400,400",0.4
3.48,0.5103,39.81787709,0.483085714,20.78212291,60.6,0.055485714,8,400,1.72
"3.64,8.4,13.64","0.5003,0.403,0.3432","37.91216601498867,14.999473684210557,50.03225806451616","0.46866428571428553,0.40049285714285704,0.33745714285714273","25.022177419354822,155.54,261.0","62.93434343434349,170.53947368421055,311.03225806451616","0.05595714285714276,0.003414285714285703,0.01165714285714281","8,150,247","400,400,400",1
"3.52,12.6,14.88","0.4443,0.3068,0.3099","35.377068014705856,26.612534489554633,46.12857142857172","0.4200642857142856,0.3029357142857142,0.3037571428571427","23.089843750000032,252.77118644067795,305.73809523809507","58.466911764705884,279.3837209302326,351.8666666666668","0.04252857142857147,0.0061571428571428055,0.00954285714285713","8,246,294","400,294,400",0.4
"4.44,8.88,13.36","0.4334,0.4101,0.3612","101.93646549528903,34.98348684756448,43.00952380952384","0.3856285714285713,0.39527857142857137,0.34102857142857135","22.779220779220765,151.995145631068,262.04761904761904","124.71568627450979,186.97863247863248,305.0571428571429","0.08979999999999994,0.02889999999999998,0.04477142857142852","6,136,241","345,345,345",0.68
"3.56,6.04,12.6","0.3725,0.3583,0.3027","131.53117505995192,30.410000000000096,22.248949579831617","0.3335928571428571,0.35555714285714274,0.2998071428571428","20.552158273381302,85.33999999999996,249.6617647058825","152.08333333333323,115.75000000000006,271.9107142857141","0.07332857142857141,0.005800000000000027,0.004642857142857115","0,71,235","400,400,400",0.2
"3.68,8.6,13.56","0.4081,0.3603,0.3065","98.76125605106459,24.21821475625825,19.43297101449275","0.36700714285714275,0.3560642857142856,0.30404999999999993","20.986055776892417,149.39772727272728,274.45833333333326","119.747311827957,173.61594202898553,293.891304347826","0.08358571428571426,0.007185714285714351,0.002757142857142847","0,140,264","367,367,367",0.24
"3.72,5.8,12.6","0.4726,0.4669,0.3783","112.43351898734176,27.475909090909028,24.349588719153815","0.4330857142857142,0.46449285714285704,0.37399999999999994","23.288000000000004,80.78409090909098,253.32432432432444","135.72151898734177,108.26,277.67391304347825","0.08539999999999992,0.009157142857142808,0.006371428571428583","0,65,246","400,400,400",2.6
"2.72,4.16,14.24","0.2199,0.22,0.1435","5.496002480093995,13.332568027210861,15.203734287116362","0.20924999999999994,0.19817857142857137,0.11902142857142853","5.523936170212754,22.32993197278911,142.70550847457628","11.019938650306749,35.66249999999997,157.90924276169264","0.010214285714285704,0.03710000000000002,0.048014285714285676","2,18,120","18,161,161",1.04
"2.72,4.16,16.8","0.1858,0.1809,0.0494","5.652070393374738,10.858049843646363,6.879736666797271","0.17602142857142852,0.16071428571428567,0.04052142857142856","5.392857142857145,22.34426229508197,182.99112426035504","11.044927536231883,33.20231213872833,189.8708609271523","0.01072857142857142,0.03428571428571431,0.014528571428571432","2,18,177","177,177,196",0.16
"4.24,13.68,16.56","0.2061,0.1364,0.1488","12.464633663366357,9.562572099978638,14.004466519386341","0.18704285714285707,0.1266928571428571,0.12114999999999997","22.871999999999993,140.9503311258278,176.53387703889587","35.33663366336635,150.51290322580644,190.5383435582822","0.0319142857142857,0.015385714285714266,0.053299999999999986","18,119,172","172,172,200",0.96
"4.16,15.12,16.88","0.2205,0.0794,0.0787","10.813660593138216,8.562780026990538,7.288549583371491","0.19787857142857135,0.0701142857142857,0.06977857142857141","22.465884861407247,159.11333333333334,182.75746268656715","33.27954545454546,167.67611336032388,190.04601226993864","0.03835714285714284,0.014514285714285702,0.014042857142857149","18,155,176","176,176,196",0.24
"4.16,10.16,16.96","0.1636,0.0959,0.0688","10.823628016839066,6.838624338624328,15.208612440191388","0.14856428571428568,0.09022857142857141,0.060885714285714265","22.109120521172635,98.01851851851852,178.23684210526315","32.9327485380117,104.85714285714285,193.44545454545454","0.025728571428571434,0.006285714285714283,0.013285714285714283","17,95,165","165,165,200",0.24
"4.08,10.16,15.44","0.1975,0.124,0.0982","9.908210007047206,7.375257731958769,6.068426371797159","0.1802285714285714,0.11747142857142853,0.09273571428571425","22.122093023255818,97.82474226804123,164.96067415730337","32.030303030303024,105.2,171.02910052910053","0.026485714285714307,0.007771428571428554,0.005214285714285713","18,95,161","180,180,180",0.16
"4.08,10.16,12.72","0.1937,0.1293,0.1214","9.668488160291446,8.599387156941091,9.466018884497146","0.1740571428571428,0.12065714285714284,0.11617857142857141","22.13888888888889,97.6043165467626,129.2663043478261","31.807377049180335,106.2037037037037,138.73232323232324","0.029457142857142876,0.011200000000000015,0.0087","18,93,124","124,124,144",0.32
"4.16,12.4,15.84","0.199,0.41,0.076","10.159243262698517,12.183305551756362,8.708038379530933","0.18017142857142854,0.2367214285714285,0.06587857142857141","22.413978494623656,123.48184523809523,168.36285714285714","32.57322175732217,135.6651507898516,177.07089552238807","0.03062857142857142,0.27295714285714273,0.014242857142857147","18,94,163","94,200,200",0.32
"4.24,10.56,12.08","0.1244,0.1973,0.1383","11.123045878545593,10.300876298822502,10.190498010054455","0.10074285714285712,0.13037142857142853,0.11354999999999998","23.232941176470586,101.66550218340612,120.8679435483871","34.35598705501618,111.96637848222862,131.05844155844156","0.03908571428571428,0.10837142857142854,0.04087142857142856","19,96,117","96,196,196",4.88
"2.64,4.16,16.08","0.1353,0.1202,0.3071","6.327977819085617,11.201844757689589,23.81847864145658","0.11990714285714282,0.09849285714285712,0.2330928571428571","4.4744094488188955,22.38198757763975,164.20756302521008","10.802387267904512,33.58383233532934,188.02604166666666","0.017414285714285715,0.03761428571428568,0.1406428571428571","0,18,18","18,94,200",5.84
"2.56,4.08,14.64","0.1795,0.1645,0.337","6.846799352199104,9.04018379569078,25.30164261259253","0.1647642857142857,0.13789999999999997,0.18783571428571424","3.0589285714285777,21.46232876712329,143.67797695262485","9.905727923627682,30.50251256281407,168.97961956521738","0.02141428571428569,0.04259999999999997,0.27661428571428565","0,17,107","107,107,200",2.88
"4.08,12.4,16.88","0.2027,0.1002,0.0689","9.150769230769235,12.570807005875182,10.242112299465248","0.17852857142857137,0.0721142857142857,0.05767857142857141","21.613333333333333,125.20876288659794,180.85681818181817","30.76410256410257,137.77956989247312,191.09893048128342","0.039114285714285685,0.042028571428571415,0.019528571428571416","17,109,169","169,169,198",0.16
"4.24,5.76,12.32","0.0276,0.0147,-0.0069","9.968016163138113,24.59911944005418,9.506786006786001","0.006828571428571427,0.006314285714285713,-0.01778571428571428","22.99017199017199,41.35436893203884,123.65151515151516","32.958188153310104,65.95348837209302,133.15830115830116","0.032057142857142853,0.015971428571428567,0.018942857142857136","19,37,96","176,176,176",3.92
"4.08,5.6,12.4","0.038,0.0191,0.0339","9.114335648766588,26.470437166911246,47.43652597402598","0.013442857142857138,0.007935714285714286,0.001828571428571426","21.984649122807017,39.77336448598131,120.02597402597402","31.098984771573605,66.24380165289256,167.4625","0.03662857142857141,0.018128571428571424,0.05622857142857142","18,35,93","199,93,199",5.04
4.48,0.271429,89.07508519,0.179368143,19.74251341,108.8175986,0.184121714,0,400,3.36
"4.44,11.88","0.242857,0.001045","87.32668459251374,18.33301435406699","0.15614707142857143,0.0","20.04102453215916,236.5","107.3677091246729,254.833014354067","0.17242414285714283,0.0020899999999999994","0,226","400,400",4
"2.36,5.88","0.145746,0.027197","6.263493505366146,220.94949632190784","0.10888621428571427,-0.003287357142857144","5.022219212568315,35.300100380010036","11.28571271793446,256.2495967019179","0.0533972857142857,0.06096871428571427","0,19","394,394",3.44
"2.36,11.8,15.28","0.145251,0.122905,0.058659","5.872592773149834,106.79995704159805,13.250827832591597","0.11502392857142854,0.07482049999999998,0.05426949999999999","5.791692356649892,172.50000000000003,323.99937354573115","11.664285129799726,279.2999570415981,337.25020137832274","0.04329585714285711,0.09616899999999998,0.007981000000000002","0,19,317","19,360,360",1.28
6.8,0.232019,31.5,0.219589357,104.25,135.75,0.024859286,90,347,4.76
"5.24,6.36,13.36","0.034112,-0.000935,-0.367757","13.639088360414732,24.334106240850815,10.23590391639442","0.014252071428571425,-0.003521499999999999,-0.4001334999999999","74.61101864181092,100.41653588243686,279.3095320588595","88.25010700222565,124.75064212328768,289.5454359752539","0.030374142857142846,0.005172999999999999,0.04739642857142856","66,98,269","269,269,296",0.36
"3.32,13.96,17.72","0.247355,0.943742,0.464129","9.239167728140345,12.2400140450776,7.8749365687133945","0.21754849999999992,0.9167419285714283,0.4525162142857142","28.466687169393524,293.2812495194747,389.1250403653642","37.70585489753387,305.5212635645523,396.9999769340776","0.03793499999999997,0.054774428571428446,0.013160999999999978","22,290,371","45,371,400",3.64
"9.24,11.96,15.88","0.266323,0.149806,0.432968","71.7028087632464,10.104167945958864,27.29616343275626","0.13838699999999995,0.1439031428571428,0.3029999285714285","164.7970989688075,244.4375346004798,335.0288356446324","236.49990773205388,254.54170254643867,362.32499907738867","0.2527742857142857,0.012580571428571441,0.22587099999999993","146,239,146","280,280,400",4.76
2.36,0.435645,9.250037532,0.432791929,4.999849805,14.24988734,0.004279857,0,378,2.12
3.8,0.428988,82.19610382,0.398078286,16.37514082,98.57124464,0.061819429,0,367,3.32
3.68,0.465603,46.75020653,0.455735929,4.062373263,50.8125798,0.020209857,0,400,1.88
"4.0,8.28,15.32","0.073055,0.034669,0.044006","51.254126082251084,36.94225708866995,47.916559574077496","0.06295799999999999,0.025914999999999994,0.02129271428571428","15.342329545454554,143.2556545579164,308.0238663484487","66.59645562770564,180.19791164658633,355.9404259225262","0.020193999999999997,0.017655714285714278,0.04468485714285713","0,128,245","400,245,400",1.2
"3.88,8.32,15.36","0.07928,0.033112,0.03","41.432556260785375,28.82744279909383,68.85128251440761","0.06999807142857142,0.02714692857142857,0.004026285714285715","23.773045916579083,145.9374698795181,287.2487945998071","65.20560217736445,174.76491267861192,356.10007711421474","0.01767357142857144,0.011337857142857143,0.05165085714285712","0,126,248","400,400,400",5.68
"3.76,8.48,15.36","0.076686,0.042709,0.042709","52.5262007968347,35.09184962691552,48.145561485002986","0.06582021428571427,0.03364957142857142,0.023738071428571424","16.93026992287919,145.28916396103895,305.73691152597405","69.45647071971389,180.38101358795447,353.88247301097704","0.02173157142857142,0.01811885714285714,0.037534142857142856","0,131,251","396,396,396",3.88
"9.2,10.8,12.84","0.068779,0.047344,0.04548","22.8670935339818,12.809523809523796,17.745202928738195","0.056796642857142844,0.04541342857142856,0.03892271428571428","167.83303523519945,212.83333333333334,257.9166666666667","190.70012876918125,225.64285714285714,275.6618695954049","0.020503000000000007,0.0046599999999999975,0.012582000000000003","154,205,241","338,338,338",5.84
"10.96,12.76,14.4","0.013793,0.012861,-0.013234","24.654041164008362,22.88104545106151,21.666666666666686","0.005771642857142855,0.009266142857142853,-0.01669571428571428","214.9690811535882,253.33333333333334,300.0","239.62312231759657,276.21437878439485,321.6666666666667","0.014444999999999996,0.007189714285714281,0.006657142857142853","206,242,290","342,342,342",6.24
10.48,-0.035601,65.09774678,-0.045586214,201.9003755,266.9981223,0.019171571,192,348,5.6
"2.56,5.92,11.2","-0.010661,0.021322,-0.040085","17.749975574010755,85.27826993225639,48.20587103490058","-0.015778285714285713,-0.0017971428571428583,-0.04543092857142856","7.250024425989252,55.666232412714955,207.84391792867612","25.000000000000007,140.94450234497134,256.0497889635767","0.009138285714285719,0.046238285714285704,0.010691857142857128","0,0,203","35,400,400",2
"4.4,11.48,13.0","0.276074,0.603911,0.485046","53.9031265592407,40.84573061124209,11.88312091899013","0.2466314285714285,0.37645149999999994,0.4124670714285713","29.68768338006128,222.74730787782252,270.5714281278913","83.59080993930198,263.5930384890646,282.4545490468814","0.05778942857142855,0.41821871428571417,0.1462532857142857","18,125,267","125,387,387",7.08
"5.48,9.44,11.96","0.067031,0.091085,0.177586","29.597844692843978,38.33581282269222,27.561111767375166","0.04046621428571427,0.05698664285714285,0.10947221428571427","74.08567016676962,169.10724212476836,237.37937618815295","103.6835148596136,207.44305494746058,264.9404879555281","0.05048642857142854,0.0651572857142857,0.13536842857142856","29,122,122","121,223,278",2.76
9.08,0.080591,78.94289019,0.048586929,148.0586878,227.001578,0.064008143,134,390,5.32
12.88,0.793963,41.58879813,0.792453429,250.496144,292.0849421,0.002907714,214,380,14.92
"9.32,13.76,17.68","0.032197,0.03907,0.02593","25.81505896012169,38.564159891188865,8.023078881974243","0.02480364285714285,0.02250778571428571,0.021843357142857137","168.56005144440047,275.77339885231845,388.2234444155168","194.37511040452216,314.3375587435073,396.246523297491","0.014671285714285717,0.03196957142857142,0.0047075714285714325","153,256,360","254,360,400",2.4
"3.16,4.88,16.4","0.248677,0.242372,-0.027293","85.96321656321943,7.575000000000003,49.916666666666686","0.18815478571428568,0.24164449999999993,-0.035052999999999994","11.773009095428893,67.875,337.8333333333333","97.73622565864832,75.45,387.75","0.12062871428571423,0.0015935714285714442,0.015104285714285712","0,62,309","400,400,400",2.8
"2.96,4.04,4.8","0.230489,0.225882,0.230974","113.18575815847488,10.437451677748598,26.72729607523962","0.15901992857142855,0.21737685714285707,0.21689171428571424","7.234578900032243,45.343796711509704,65.25648399348889","120.42033705850713,55.7812483892583,91.9837800687285","0.14619528571428575,0.017356571428571443,0.02082085714285714","0,40,40","400,60,400",4.36
"2.84,3.68,11.16","0.320459,0.292086,0.019753","54.07612278391098,8.310037518624036,19.511538461538464","0.2662069285714285,0.2756471428571428,0.012997642857142853","7.231584772983774,38.29530179551284,220.03846153846155","61.307707556894755,46.60533931413688,239.55","0.10129728571428567,0.01666342857142855,0.012263571428571424","0,35,211","400,400,400",4.16
6.4,0.121946,145.6245304,0.076697,52.87513812,198.4996685,0.090498,0,301,3.64
"4.96,15.68","0.273861,0.216238","106.55889477256056,72.72547155208775","0.2055232857142857,0.20456864285714282","24.10473157415833,307.917110799439","130.6636263467189,380.64258235152676","0.1361662857142857,0.023168999999999995","0,199","198,400",3.04
"3.84,7.76,15.88","0.389958,0.256436,0.148939","19.149877926656586,39.16553755522823,24.429617398169285","0.38211771428571417,0.25251585714285707,0.14497849999999995","33.10005303164223,124.58409425625918,331.4991163475699","52.24993095829882,163.7496318114874,355.9287337457392","0.016003428571428613,0.007840285714285744,0.007920999999999984","21,114,321","400,400,400",3.28
"3.96,8.12","0.440877,0.345827","28.61294508573188,42.22926530212024","0.3916953571428571,0.30957764285714273","36.52588834034255,136.37498421916422","65.13883342607443,178.60424952128446","0.09399871428571427,0.0708827142857143","5,118","351,351",2.36
"14.04,14.12,17.32","0.176096,0.176096,0.184017","38.278197802553734,38.278197802553734,18.273673632384657","0.15847628571428568,0.15847628571428568,0.17108521428571422","285.5553809897879,285.5553809897879,375.14288870652103","323.83357879234165,323.83357879234165,393.4165623389057","0.034916571428571436,0.034916571428571436,0.02295385714285711","243,243,243","346,346,400",5.96
4.88,0.113824,30.58333333,0.109420429,54.25,84.83333333,0.008807143,37,397,5.96
"4.2,16.92","0.222026,0.031718","15.14333582832051,12.083154653707027","0.2161736428571428,0.02869714285714285","49.85704248189386,367.25009458948165","65.00037831021437,379.3332492431887","0.009817285714285723,0.005286285714285712","45,363","400,400",7.04
"7.52,9.2","0.031279,0.029101","5.086151593818556,8.738990938811042","0.025743357142857137,0.02378114285714285","135.16215182124273,175.31281913464122","140.2483034150613,184.05181007345226","0.003535285714285713,0.006664285714285713","132,169","146,211",4.6
7.48,0.060606,28.56001158,0.055025571,114.1293424,142.6893539,0.010935143,107,221,6.16
"8.84,12.12,15.72","0.046073,-0.01466,0.026178","72.43274199267313,7.791520221905159,76.48801917689065","0.008040428571428566,-0.019334571428571423,0.008152642857142855","131.4422978035701,249.67300910960915,304.5833996498488","203.87503979624324,257.4645293315143,381.07141882673943","0.07337285714285713,0.0066568571428571414,0.03545242857142856","93,243,243","243,264,400",4.36
"8.36,13.84,16.4","0.00366,0.055948,0.086275","21.621247378651617,21.37522709315732,44.27245066504389","-0.007282999999999999,0.04791771428571428,0.06446321428571428","150.61099305850686,286.37482071713146,342.9092845344693","172.23224043715848,307.7500478102888,387.1817351995132","0.022184857142857138,0.013968571428571427,0.04093385714285714","67,67,67","179,326,400",4.12
"4.16,6.2,16.44","0.027327,0.021622,0.045495","51.365296149482624,21.318049320269083,52.58878625339139","0.018607857142857134,0.01965921428571428,0.04130714285714285","27.170019835647487,91.87562437562437,323.12416745956233","78.53531598513011,113.19367369589345,375.7129537129537","0.017223999999999993,0.003882428571428568,0.0077328571428571455","8,84,186","185,185,386",7.04
"8.6,13.56,16.48","0.091331,0.086089,0.046774","56.49999999999997,13.400032702894237,14.593523461597101","0.08234471428571427,0.07682185714285711,0.03301421428571428","148.5,281.8499809233117,354.62507154031056","204.99999999999997,295.25001362620594,369.21859500190766","0.017972571428571435,0.01853428571428571,0.029017285714285707","141,229,346","346,346,377",8.6
"5.6,8.28,10.44","0.134762,0.14619,0.108095","27.465156455324788,106.50115802980758,34.79335982523364","0.11865649999999997,0.10006799999999998,0.08464292857142855","74.85619354467522,68.51806497318086,196.73783548453184","102.32135000000001,175.01922300298844,231.53119530976548","0.030034142857142843,0.08680257142857142,0.045408142857142834","49,49,187","114,265,265",5.16
5.44,0.158042,62.74875156,0.147340214,48.62562422,111.3743758,0.021097857,23,373,4.92
"5.6,9.24,17.24","0.005714,0.010162,-0.023801","15.494289506054628,123.91736729310912,24.086239715243494","0.0028407142857142854,-0.003007357142857143,-0.034558214285714275","79.76458606139968,129.34953016815035,371.47265941181763","95.25887556745431,253.26689746125948,395.5588991270611","0.00557342857142857,0.026338714285714278,0.02070642857142856","75,112,352","112,352,400",5.36
"2.68,6.44,16.92","0.160637,0.079878,-0.029968","16.83502399881899,26.140627045227987,27.112678578084456","0.10380371428571425,0.06351464285714284,-0.0455832857142857","10.199298770879293,96.32427075542259,357.81150793650795","27.034322769698285,122.46489780065058,384.9241865145924","0.11113714285714281,0.032107,0.02968142857142856","0,76,344","400,400,400",5.32
4.88,0.113824,30.58333333,0.109420429,54.25,84.83333333,0.008807143,37,397,5.96
"4.2,16.92","0.222026,0.031718","15.14333582832051,12.083154653707027","0.2161736428571428,0.02869714285714285","49.85704248189386,367.25009458948165","65.00037831021437,379.3332492431887","0.009817285714285723,0.005286285714285712","45,363","400,400",7.04
7.48,0.060606,28.56001158,0.055025571,114.1293424,142.6893539,0.010935143,107,221,6.16
"8.84,12.12,15.72","0.046073,-0.01466,0.026178","72.43274199267313,7.791520221905159,76.48801917689065","0.008040428571428566,-0.019334571428571423,0.008152642857142855","131.4422978035701,249.67300910960915,304.5833996498488","203.87503979624324,257.4645293315143,381.07141882673943","0.07337285714285713,0.0066568571428571414,0.03545242857142856","93,243,243","243,264,400",4.36
"8.36,13.84,16.4","0.00366,0.055948,0.086275","21.621247378651617,21.37522709315732,44.27245066504389","-0.007282999999999999,0.04791771428571428,0.06446321428571428","150.61099305850686,286.37482071713146,342.9092845344693","172.23224043715848,307.7500478102888,387.1817351995132","0.022184857142857138,0.013968571428571427,0.04093385714285714","67,67,67","179,326,400",4.12
"4.16,6.2,16.44","0.027327,0.021622,0.045495","51.365296149482624,21.318049320269083,52.58878625339139","0.018607857142857134,0.01965921428571428,0.04130714285714285","27.170019835647487,91.87562437562437,323.12416745956233","78.53531598513011,113.19367369589345,375.7129537129537","0.017223999999999993,0.003882428571428568,0.0077328571428571455","8,84,186","185,185,386",7.04
"8.6,13.56,16.48","0.091331,0.086089,0.046774","56.49999999999997,13.400032702894237,14.593523461597101","0.08234471428571427,0.07682185714285711,0.03301421428571428","148.5,281.8499809233117,354.62507154031056","204.99999999999997,295.25001362620594,369.21859500190766","0.017972571428571435,0.01853428571428571,0.029017285714285707","141,229,346","346,346,377",8.6
"5.6,8.28,10.44","0.134762,0.14619,0.108095","27.465156455324788,106.50115802980758,34.79335982523364","0.11865649999999997,0.10006799999999998,0.08464292857142855","74.85619354467522,68.51806497318086,196.73783548453184","102.32135000000001,175.01922300298844,231.53119530976548","0.030034142857142843,0.08680257142857142,0.045408142857142834","49,49,187","114,265,265",5.16
5.44,0.158042,62.74875156,0.147340214,48.62562422,111.3743758,0.021097857,23,373,4.92
"5.6,9.24,17.24","0.005714,0.010162,-0.023801","15.494289506054628,123.91736729310912,24.086239715243494","0.0028407142857142854,-0.003007357142857143,-0.034558214285714275","79.76458606139968,129.34953016815035,371.47265941181763","95.25887556745431,253.26689746125948,395.5588991270611","0.00557342857142857,0.026338714285714278,0.02070642857142856","75,112,352","112,352,400",5.36
11.44,0.190561,145.2852254,0.1825765,165.2147746,310.5,0.015969,0,391,6.84
3.44,0.175656,20.58450704,0.174262286,27.16619718,47.75070423,0.002585143,0,58,5.96
2.64,0.201561,22.10086657,0.199989714,4.499471645,26.60033822,0.003142571,0,65,5.92
"2.52,2.96,14.68","0.355469,0.316406,0.269531","5.40317602217039,7.128827588145164,25.62056822815771","0.2848772857142856,0.2770648571428571,0.16406242857142855","10.39682397782961,20.775014400000007,307.4905618455118","15.8,27.90384198814517,333.11113007366953","0.04575914285714289,0.06808028571428576,0.2008928571428571","7,7,286","19,244,354",3.56
"2.48,3.24,13.4","0.568648,0.565061,0.070184","14.877783019423749,5.106722678463878,25.08378067484665","0.5249744285714284,0.5208759999999999,0.043032357142857136","7.7578123638391645,28.562503734687784,269.66634132738426","22.635595383262913,33.66922641315166,294.7501220022309","0.07658799999999999,0.05455942857142859,0.05327871428571427","4,26,243","387,387,387",1.12
"5.36,8.96,15.08","0.01167,0.011429,0.020241","48.5937676877267,26.928971070216704,50.32841531319184","-0.007568357142857139,-0.0022433571428571424,-0.0033342857142857132","53.70951362907536,159.37518825301206,295.9434375","102.30328131680206,186.30415932322876,346.27185281319186","0.03794214285714284,0.026464428571428566,0.04659971428571427","27,113,206","206,206,377",6.48
"4.88,13.44,15.6","0.221193,0.09465,0.100823","24.814763576113684,28.999956822046556,29.431793914043226","0.13587592857142855,0.06092014285714284,0.06569664285714284","59.355250031973405,270.97728979808244,328.31818583484295","84.17001360808709,299.977246620129,357.7499797488862","0.15623157142857141,0.06569657142857141,0.06437385714285712","25,256,256","256,314,376",5.4
10.36,0.134097,50,0.132808,184.5,234.5,0.002578,161,355,5.56
11.64,0.126791,119.5990162,0.1149715,179.9006515,299.4996677,0.023639,129,400,6.96
10.4,0.115186,97.70833333,0.111103,155.1666667,252.875,0.008166,124,400,8.4
11.4,0.118589,107.8,0.111702,171.7,279.5,0.013774,127,400,7.84
11.04,0.120605,106.175,0.113718,169.125,275.3,0.013774,126,390,7.44
11.36,0.038657,111.5008839,0.0310185,182.7492634,294.2501473,0.015277,132,400,5.84
11.68,0.037809,107.0019143,0.030957929,200.7485277,307.750442,0.013702143,144,400,5.28
11.84,0.039506,113.6688137,0.0335645,191.3318932,305.0007069,0.011883,144,400,5.36
"2.68,6.76,16.88","0.155652,0.060994,0.005342","13.858526610091547,37.99344883682882,30.472603413178717","0.09318528571428569,0.03902399999999999,-0.017284857142857137","11.688752015404068,99.0652725522793,354.74445438282646","25.547278625495615,137.05872138910811,385.2170577960052","0.10569657142857142,0.04251999999999999,0.04049685714285713","0,74,338","400,400,400",4.52
"7.8,10.72,16.08","0.108838,0.059738,-0.09329","55.16849683986747,26.988277783221207,15.7588111014947","0.0828850714285714,0.03790621428571428,-0.10346035714285712","98.86659877800408,200.10392057026476,343.2999511181718","154.03509561787155,227.09219835348597,359.0587622196665","0.04629414285714284,0.03641557142857142,0.018704714285714297","46,190,328","328,328,366",6.92
"6.0,15.56,17.12","0.042553,-0.048282,0.048282","12.024945007943302,10.23042916013992,20.625166960633806","0.03594821428571428,-0.05284064285714284,-0.0019582142857142854","94.3500549920567,335.93627145085804,367.13369614641357","106.375,346.16670061099796,387.7588631070474","0.010872142857142858,0.007715285714285716,0.08551585714285712","88,286,286","285,353,400",6.52
"8.4,14.88,16.72","-0.0982,-0.135025,-0.140753","18.490991088474118,102.75246902120494,16.974945157855416","-0.1326278571428571,-0.1542846428571428,-0.1539045714285714","151.17049936121757,235.03093492208984,359.1841394391562","169.66149044969168,337.7834039432948,376.1590845970116","0.062192857142857105,0.03805185714285714,0.02513399999999999","141,196,350","390,390,390",5.24
"11.28,13.52,14.8","-0.094675,-0.064793,-0.065385","35.65062729664217,14.388343217426325,131.8354900823922","-0.11642014285714283,-0.08148771428571426,-0.15304307142857138","208.5594720746821,281.2077956281275,200.1564806511692","244.21009937132428,295.5961388455538,331.9919707335614","0.04196942857142856,0.02789514285714284,0.17472528571428567","174,174,174","256,304,365",3.88
"4.08,7.56,17.48","0.125444,0.072189,-0.018343","8.26269389955766,83.8055337528237,17.647578523881748","0.1144970714285714,0.04890107142857142,-0.029142142857142853","48.157860796086275,122.55166083916085,377.97528675126057","56.420554695643936,206.35719459198455,395.6228652751423","0.017920714285714276,0.04666099999999999,0.020245142857142854","44,99,343","343,343,400",1.76
"7.24,13.4,14.88","0.013018,-0.035799,0.017456","35.26170931916948,20.60628993425877,16.79169975094254","-0.004902785714285714,-0.10048614285714283,-0.08615807142857142","109.14296636085626,274.0402877006376,311.856480418953","144.40467568002575,294.64657763489635,328.64818016989557","0.034826428571428564,0.12607771428571424,0.20097214285714282","97,259,259","259,303,341",4.64
"7.56,11.8,16.8","0.046885,0.219692,0.042063","11.718494038361854,35.988290665924154,23.847439171813335","0.03683849999999999,0.12200742857142854,0.03801535714285713","133.81257128045618,228.2707931570762,357.5277163395079","145.53106531881804,264.25908382300037,381.3751555113212","0.020092999999999996,0.19364685714285712,0.008095285714285715","100,100,327","188,317,386",6.36
